OBJECTID,CA_NAME,SUBWSHD_NAME,GRADE_FC_OVERALL,GRADE_FC_COVER,GRADE_FC_INTERIOR,GRADE_FC_RIPARIAN,GRADE_SWQ_OVERALL,GRADE_SWQ_BENTHIC,GRADE_SWQ_ECOLI,GRADE_SWQ_PHOSPH,WRC_URL,Indicators_SW,Chloride_SW_75th_GTET_120,Chloride_SW_75th_LT_120,GlobalID,ShapeSTArea,ShapeSTLength
1,Conservation Halton,Joshua's Creek,D,D,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{F90E59B1-BD6E-48C8-89F8-84E5EFA1CC9D},21626799.1391749,47190.741292523
2,Conservation Halton,Lower Wedgewood Creek,D,D,F,D,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{BA62D87D-6877-4AB2-9545-F5CBE07281A7},5493632.69947401,24559.5047844652
3,Conservation Halton,Main Branch,D,C,F,C,C,C,Insufficient data,C,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",171,,{D4DBBCC8-6D5E-4D1F-85FB-A78970A46634},24631726.1844283,49018.6305375859
4,Conservation Halton,Lowville Creek,C,B,F,C,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{E17BF37C-0281-44D9-AFE6-002920F6AB80},10073849.99975,28219.9999000792
5,Conservation Halton,McCraney Creek,F,F,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{5719C05A-D02C-461E-84FE-B406B95554DB},12219310.603102,39377.9179040914
6,Conservation Halton,Strabane Creek,A,A,A,A,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{E79A45A2-D6C1-4D72-A5CE-448B89ADC084},13511375.2180491,27686.2073637131
7,Conservation Halton,Sheldon Creek,D,D,F,D,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",276,,{DCE54E4B-D2A0-445E-81CB-7C7A09278010},17671626.3619758,45701.982471691
8,Conservation Halton,Upper Hager Creek,D,D,F,C,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{51151C93-3F1B-49F2-91E6-E4A489AAFFF7},4232825.001,21110.0004000534
9,Conservation Halton,Roseland Creek,F,F,F,F,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{2A3B2AA5-40FA-4D99-8809-4CA16F5982FA},9406053.88868015,40304.9150055709
10,Conservation Halton,Lower Rambo Creek,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{04F7B71F-94F9-4ABC-8714-0B536C515484},3423889.59179549,13408.2397793397
11,Conservation Halton,224,B,A,D,B,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{9FD38599-44AD-4005-89F6-89C9EC6CD23D},5681325.00474999,18099.9993000495
12,Conservation Halton,East Side,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{CFCFE738-1507-4130-8D05-5CBFDBC770E3},685348.69998647,7361.66853895448
13,Conservation Halton,230,C,A,F,C,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,119,{6DA1BB1B-1F1E-4BC1-9818-22F20B56CE68},1718395.44327801,11580.6182737189
14,Conservation Halton,228,B,A,D,B,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{02745B42-F5E4-4511-9F17-002EE29E10D3},8069949.91325002,20549.9904002279
15,Conservation Halton,Upper Rambo Creek,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{808CBA0A-0855-4E23-974F-28D19BF1FA9F},6290374.99775,20430.001200052
